,Player,height,weight,collage,born,birth_city,birth_state
2034,Delaney Rudd,188,81,Wake Forest University,1962,Halifax,North Carolina
2035,Jeff Sanders,203,102,Georgia Southern University,1966,Augusta,Georgia
2036,Dexter Shouse,188,90,University of South Alabama,1963,Terre Haute,Indiana
2037,Michael Smith,208,102,Brigham Young University,1965,Rochester,New York
2038,Jay Taylor,190,86,Eastern Illinois University,1967,Aurora,Illinois
2039,Leonard Taylor,203,99,University of California,1966,Los Angeles,California
2040,Henry Turner,188,88,University of Nebraska,1938,,
2041,Gary Voce,206,108,University of Notre Dame,1965,Jamaica,
2042,Alexander Volkov,208,98,,1964,Omsk,Russia
2043,Doug West,198,90,Villanova University,1967,Altoona,Pennsylvania
2044,Randy White,203,108,Louisiana Tech University,1967,Shreveport,Louisiana
2045,Mike Williams,188,82,Lincoln University of Missouri,1945,Seattle,Washington
2046,Haywoode Workman,188,81,Oral Roberts University,1966,Charlotte,North Carolina
2047,Alaa Abdelnaby,208,108,Duke University,1968,Cairo,Egypt
2048,Mahmoud Abdul-Rauf,188,83,"University of California, Los Angeles",1942,Wilmington,Delaware
2049,Keith Askins,201,89,University of Alabama,1967,Athens,Alabama
2050,Milos Babic,213,108,Tennessee Technological University,1968,Kraljevo,Serbia
2051,Cedric Ball,203,95,University of North Carolina at Charlotte,1968,Worcester,Massachusetts
2052,Lance Blanks,193,86,University of Texas at Austin,1966,Del Rio,Texas
2053,Anthony Bonner,203,97,Saint Louis University,1968,St. Louis,Missouri
2054,Dee Brown,185,72,Jacksonville University,1968,Jacksonville,Florida
2055,Jud Buechler,198,99,University of Arizona,1968,San Diego,California
2056,Matt Bullard,208,97,University of Iowa,1967,Des Moines,Iowa
2057,Willie Burton,203,95,University of Minnesota,1968,Detroit,Michigan
2058,Rick Calloway,198,81,University of Kansas,1966,Cincinnati,Ohio
2059,Elden Campbell,211,97,Clemson University,1968,Los Angeles,California
2060,Duane Causwell,213,108,Temple University,1968,Queens Village,New York
2061,Cedric Ceballos,198,86,"California State University, Fullerton",1969,Maui,Hawaii
2062,Richard Coffey,198,96,University of Minnesota,1965,Aurora,North Carolina
2063,Derrick Coleman,208,104,Syracuse University,1967,Mobile,Alabama
2064,Bimbo Coles,185,81,Virginia Polytechnic Institute and State University,1968,Covington,Virginia
2065,Anthony Cook,206,92,University of Arizona,1967,Los Angeles,California
2066,Tony Dawson,201,97,Florida State University,1967,Kinston,North Carolina
2067,Mario Elie,196,95,American International College,1963,New York,New York
2068,A.J. English,196,95,,1963,,
2069,Danny Ferry,208,104,Duke University,1966,Hyattsville,Maryland
2070,Greg Foster,211,108,University of Texas at El Paso,1968,Oakland,California
2071,Tate George,196,86,University of Connecticut,1968,Newark,New Jersey
2072,Kendall Gill,196,88,University of Illinois at Urbana-Champaign,1968,Chicago,Illinois
2073,Gerald Glass,196,100,University of Mississippi,1967,Greenwood,Mississippi
2074,Dan Godfread,208,113,University of Evansville,1967,Fort Wayne,Indiana
2075,Jim Grandholm,213,106,University of South Florida,1960,Elkhart,Indiana
2076,Tony Harris,190,86,University of New Orleans,1967,Monroe,Louisiana
2077,Steve Henson,180,80,Kansas State University,1968,Junction City,Kansas
2078,Sean Higgins,206,92,University of Michigan,1968,Los Angeles,California
2079,Tyrone Hill,206,108,Xavier University,1968,Cincinnati,Ohio
2080,Dave Jamerson,196,86,Ohio University,1967,Clarksburg,West Virginia
2081,Henry James,203,99,St. Mary's University,1965,Centreville,Alabama
2082,Les Jepsen,213,107,University of Iowa,1967,Bowbells,North Dakota
2083,Alec Kessler,211,104,University of Georgia,1967,Minneapolis,Minnesota
2084,Bo Kimble,193,86,Loyola Marymount University,1966,Philadelphia,Pennsylvania
2085,Negele Knight,185,79,University of Dayton,1967,Detroit,Michigan
2086,Kurk Lee,190,86,Towson University,1967,Baltimore,Maryland
2087,Marcus Liberty,203,92,University of Illinois at Urbana-Champaign,1968,Chicago,Illinois
2088,Ian Lockhart,203,108,University of Tennessee,1967,Nassau,Bahamas
2089,Tony Massenburg,206,99,University of Maryland,1967,Sussex,Virginia
2090,Travis Mays,188,86,University of Texas at Austin,1968,Ocala,Florida
2091,Terry Mills,208,104,University of Michigan,1967,Romulus,Michigan
2092,Chris Munk,206,102,University of Southern California,1967,San Francisco,California
2093,Jerrod Mustaf,208,107,University of Maryland,1969,Whiteville,North Carolina
2094,Dan O'Sullivan,208,113,Fordham University,1968,Bronx,New York
2095,Alan Ogg,218,108,University of Alabama at Birmingham,1967,Lancaster,Ohio
2096,Brian Oliver,193,95,Georgia Institute of Technology,1968,Chicago,Illinois
2097,Gerald Paddio,201,92,"University of Nevada, Las Vegas",1965,Lafayette,Louisiana
2098,Walter Palmer,216,97,Dartmouth College,1968,Ithaca,New York
2099,Gary Payton*,193,81,Oregon State University,1968,Oakland,California
2100,Kevin Pritchard,190,81,University of Kansas,1967,Bloomington,Indiana
2101,Larry Robinson,190,81,Centenary College of Louisiana,1968,Bossier City,Louisiana
2102,Rumeal Robinson,188,88,University of Michigan,1966,Mandeville,Jamaica
2103,Steve Scheffler,206,113,Purdue University,1967,Grand Rapids,Michigan
2104,Dwayne Schintzius,216,117,University of Florida,1968,Brandon,Florida
2105,Dennis Scott,203,103,Georgia Institute of Technology,1968,Hagerstown,Maryland
2106,Lionel Simmons,201,95,La Salle University,1968,Philadelphia,Pennsylvania
2107,Tony Smith,201,95,,1968,,
2108,Felton Spencer,213,120,University of Louisville,1968,Louisville,Kentucky
2109,Irving Thomas,203,102,Florida State University,1966,Brooklyn,New York
2110,Andy Toolson,198,95,Brigham Young University,1966,Chicago,Illinois
2111,Loy Vaught,206,104,University of Michigan,1968,Grand Rapids,Michigan
2112,Stojko Vrankovic,218,117,,1964,Drnis,Croatia
2113,Jayson Williams,206,108,St. John's University,1968,Ritter,South Carolina
2114,Kenny Williams,188,79,St. John's University,1961,New York,New York
2115,Scott Williams,208,104,University of North Carolina,1968,Hacienda Heights,California
2116,Trevor Wilson,201,95,"University of California, Los Angeles",1968,Los Angeles,California
2117,Kennard Winchester,196,95,Averett University,1966,Chestertown,Maryland
2118,Howard Wright,190,83,Austin Peay State University,1947,Louisville,Kentucky
2119,A.J. Wynder,190,83,,1947,,
2120,Victor Alexander,206,120,Iowa State University,1969,Detroit,Michigan
2121,Kenny Anderson,183,76,Georgia Institute of Technology,1970,Queens,New York
2122,Greg Anthony,183,79,"University of Nevada, Las Vegas",1967,Las Vegas,Nevada
2123,Stacey Augmon,203,92,"University of Nevada, Las Vegas",1968,Pasadena,California
2124,Isaac Austin,208,115,Arizona State University,1969,Gridley,California
2125,Steve Bardo,196,86,University of Illinois at Urbana-Champaign,1968,Henderson,Kentucky
2126,David Benoit,203,99,University of Alabama,1968,Lafayette,Louisiana
2127,Terrell Brandon,180,81,University of Oregon,1970,Portland,Oregon
2128,Kevin Brooks,198,90,University of Louisiana at Lafayette,1969,Beaufort,South Carolina
2129,Myron Brown,190,81,Slippery Rock University of Pennsylvania,1969,McKees Rocks,Pennsylvania
2130,Randy Brown,203,99,University of Idaho,1965,Atlanta,Georgia
2131,Demetrius Calip,185,74,University of Michigan,1969,Flint,Michigan
2132,Pete Chilcutt,208,104,University of North Carolina,1968,Sumter,South Carolina
2133,Marty Conlon,208,101,Providence College,1968,Bronx,New York
2134,Tom Copa,208,124,Marquette University,1964,Robbinsdale,Minnesota
2135,Chris Corchiani,183,83,North Carolina State University,1968,Coral Gables,Florida
2136,Corey Crowder,196,97,Kentucky Wesleyan College,1969,Carrollton,Georgia
2137,Dale Davis,211,104,Clemson University,1969,Toccoa,Georgia
2138,Bison Dele,206,106,University of Arizona,1969,Fresno,California
2139,Patrick Eddie,211,108,University of Mississippi,1967,Milwaukee,Wisconsin
2140,LeRon Ellis,208,95,St. John's University,1940,Far Rockaway,New York
2141,Rick Fox,201,104,University of North Carolina,1969,Toronto,Canada
2142,Chris Gatling,208,99,Old Dominion University,1967,Elizabeth,New Jersey
2143,Paul Graham,198,90,Ohio University,1967,Philadelphia,Pennsylvania
2144,Sean Green,196,95,Iona College,1970,Santa Monica,California
2145,Carl Herrera,206,97,University of Houston,1966,Trinidad,Trinidad and Tobago
2146,Donald Hodge,213,104,Temple University,1969,Washington,District of Columbia
2147,Brian Howard,198,92,North Carolina State University,1967,Winston-Salem,North Carolina
2148,Cedric Hunter,183,81,University of Kansas,1965,Wichita Falls,Texas
2149,Mike Iuzzolino,178,79,Saint Francis University,1968,Altoona,Pennsylvania
2150,Rich King,218,117,University of Nebraska,1969,Lincoln,Nebraska
2151,Doug Lee,196,90,Purdue University,1964,Washington,Illinois
2152,Luc Longley,218,120,University of New Mexico,1969,Melbourne,Australia
2153,Kevin Lynch,196,88,University of Minnesota,1968,Bloomington,Minnesota
2154,Mark Macon,196,83,Temple University,1969,Saginaw,Michigan
2155,Tharon Mayes,190,79,Florida State University,1968,New Haven,Connecticut
2156,Rodney Monroe,190,83,North Carolina State University,1968,Baltimore,Maryland
2157,Tracy Moore,193,90,University of Tulsa,1965,Oklahoma City,Oklahoma
2158,Eric Murdock,185,86,Providence College,1968,Somerville,New Jersey
2159,Dikembe Mutombo*,218,111,Georgetown University,1966,Kinshasa,Democratic Republic of the Congo
2160,Jimmy Oliver,196,92,Purdue University,1969,Menifee,Arkansas
2161,Billy Owens,203,99,Syracuse University,1969,Carlisle,Pennsylvania
2162,Keith Owens,201,102,"University of California, Los Angeles",1969,San Francisco,California
2163,Robert Pack,188,81,University of Southern California,1969,New Orleans,Louisiana
2164,Elliot Perry,183,68,University of Memphis,1969,Memphis,Tennessee
2165,Bobby Phills,196,95,Southern University and A&M College,1969,Baton Rouge,Louisiana
2166,Mark Randall,203,106,University of Kansas,1967,Edina,Minnesota
2167,Stanley Roberts,213,129,Louisiana State University,1970,Hopkins,South Carolina
2168,Doug Smith,188,86,University of Minnesota,1920,Minnesota,
2169,LaBradford Smith,203,97,Alcorn State University,1958,Rolling Fork,Mississippi
2170,Steve Smith,201,90,Michigan State University,1969,Highland Park,Michigan
2171,Larry Stewart,203,99,Coppin State University,1968,Philadelphia,Pennsylvania
2172,Derek Strong,203,99,Xavier University,1968,Los Angeles,California
2173,Lamont Strothers,193,86,Christopher Newport University,1968,Nansemond County,Virginia
2174,Greg Sutton,188,77,Oral Roberts University,1967,Santa Cruz,California
2175,Carl Thomas,193,79,Eastern Michigan University,1969,Dayton,Ohio
2176,Charles Thomas,190,79,Eastern Michigan University,1969,Dayton,Ohio
2177,Stephen Thompson,193,83,Syracuse University,1968,Los Angeles,California
2178,John Turner,203,111,Phillips University,1967,Washington,District of Columbia
2179,Joao Vianna,206,97,,1966,Trabajara,Brazil
2180,Eric Anderson,206,99,Indiana University,1970,Chicago,Illinois
2181,Anthony Avent,206,106,Seton Hall University,1969,Rocky Mount,North Carolina
2182,Jon Barry,193,88,Georgia Institute of Technology,1969,Oakland,California
2183,Tony Bennett,183,79,University of Wisconsin-Green Bay,1969,Green Bay,Wisconsin
2184,Alex Blackwell,198,113,Monmouth University,1970,Toms River,New Jersey
2185,Ricky Blanton,201,97,Louisiana State University,1966,Miami,Florida
2186,Walter Bond,196,90,University of Minnesota,1969,Chicago,Illinois
2187,Dexter Cambridge,201,101,University of Texas at Austin,1970,Eleuthra,Bahamas
2188,Doug Christie,198,90,Pepperdine University,1970,Seattle,Washington
2189,Duane Cooper,185,83,University of Southern California,1969,Benton Harbor,Michigan
2190,Joe Courtney,203,106,University of Southern Mississippi,1969,Jackson,Mississippi
2191,John Crotty,185,83,University of Virginia,1969,Orange,New Jersey
2192,Radisav Curcic,208,124,,1965,Cacak,Serbia
2193,Lloyd Daniels,201,92,Mount San Antonio College,1967,Brooklyn,New York
2194,Hubert Davis,196,83,University of North Carolina,1970,Winston-Salem,North Carolina
2195,Todd Day,198,85,University of Arkansas,1970,Decatur,Illinois
2196,Richard Dumas,190,77,Northeastern State University,1970,,
2197,Pat Durham,201,95,Colorado State University,1967,Dallas,Texas
2198,LaPhonso Ellis,203,108,University of Notre Dame,1970,East St. Louis,Illinois
2199,Matt Geiger,213,110,Georgia Institute of Technology,1969,Salem,Massachusetts
2200,Litterial Green,185,83,University of Georgia,1970,Pascagoula,Mississippi
2201,Tom Gugliotta,208,108,North Carolina State University,1969,Huntington Station,New York
2202,Jay Guidinger,208,115,University of Minnesota Duluth,1969,Milwaukee,Wisconsin
2203,Robert Horry,206,99,University of Alabama,1970,Andalusia,Alabama
2204,Byron Houston,196,113,Oklahoma State University,1969,Watonga,Kansas
2205,Stephen Howard,206,102,DePaul University,1970,Dallas,Texas
2206,Jim Jackson,198,99,Ohio State University,1970,Toledo,Ohio
2207,Keith Jennings,170,72,East Tennessee State University,1968,Culpepper,Virginia
2208,Dave Johnson,201,95,Syracuse University,1970,Morgan City,Louisiana
2209,Thomas Jordan,208,99,Oklahoma State University,1968,Baltimore,Maryland
2210,Adam Keefe,206,104,Stanford University,1970,Irvine,California
2211,Christian Laettner,211,106,Duke University,1969,Angola,New York
2212,Sam Mack,201,99,University of Houston,1970,Chicago,Illinois
2213,Don MacLean,208,106,"University of California, Los Angeles",1970,Palo Alto,California
2214,Marlon Maxey,203,113,University of Texas at El Paso,1969,Chicago,Illinois
2215,Lee Mayberry,185,78,University of Arkansas,1970,Tulsa,Oklahoma
2216,Oliver Miller,206,127,University of Arkansas,1970,Fort Worth,Texas
2217,Harold Miner,196,95,University of Southern California,1971,Inglewood,California
2218,Isaiah Morris,203,103,University of Arkansas,1969,Richmond,Virginia
2219,Alonzo Mourning*,208,108,Georgetown University,1970,Chesapeake,Virginia
2220,Tracy Murray,201,102,"University of California, Los Angeles",1971,Los Angeles,California
2221,Melvin Newbern,193,90,University of Minnesota,1967,Toledo,Ohio
2222,Shaquille O'Neal*,216,147,Louisiana State University,1972,Newark,New Jersey
2223,Matt Othick,188,74,University of Arizona,1969,Clovis,New Mexico
2224,Doug Overton,190,86,La Salle University,1969,Philadelphia,Pennsylvania
2225,Anthony Peeler,193,94,University of Missouri,1969,Kansas City,Missouri
2226,Brent Price,185,74,University of Oklahoma,1968,Shawnee,Oklahoma
2227,Anthony Pullard,208,111,McNeese State University,1966,DeQuincy,Louisiana
2228,Sean Rooks,208,113,University of Arizona,1969,New York,New York
2229,Malik Sealy,203,86,St. John's University,1970,Bronx,New York
2230,Chris Smith,208,104,University of Pittsburgh,1965,Bridgeport,Connecticut
2231,Reggie Smith,208,108,Texas Christian University,1970,San Jose,California
2232,Andre Spencer,198,95,Northern Arizona University,1964,Stockton,California
2233,Elmore Spencer,213,122,"University of Nevada, Las Vegas",1969,Atlanta,Georgia
2234,Latrell Sprewell,196,86,University of Alabama,1970,Milwaukee,Wisconsin
2235,Barry Stevens,196,88,Iowa State University,1963,Flint,Michigan
2236,Bryant Stith,196,94,University of Virginia,1970,Emporia,Virginia
2237,Gundars Vetra,198,88,,1967,Ventspils,Latvia
2238,Clarence Weatherspoon,198,108,University of Southern Mississippi,1970,Crawford,Mississippi
2239,Marcus Webb,206,115,University of Alabama,1970,Montgomery,Alabama
2240,Robert Werdann,211,113,St. John's University,1970,Sunnyside,New York
2241,Corey Williams,188,86,Oklahoma State University,1970,Twiggs,Georgia
2242,Lorenzo Williams,206,90,Stetson University,1969,Ocala,Florida
2243,Walt Williams,193,88,Indiana University,1923,,
2244,Randy Woods,178,83,La Salle University,1970,Philadelphia,Pennsylvania
2245,Gary Alexander,201,108,University of South Florida,1969,Jacksonville,Florida
2246,Vin Baker,211,105,University of Hartford,1971,Lake Wales,Florida
2247,Corie Blount,206,108,University of Cincinnati,1969,Monrovia,California
2248,Shawn Bradley,229,106,Brigham Young University,1972,Landstuhl,Germany
2249,P.J. Brown,229,106,,1972,,
2250,Evers Burns,203,117,University of Maryland,1971,Baltimore,Maryland
2251,Scott Burrell,201,98,University of Connecticut,1971,New Haven,Connecticut
2252,Mitchell Butler,188,77,University of Memphis,1946,Memphis,Tennessee
2253,Sam Cassell,190,83,Florida State University,1969,Baltimore,Maryland
2254,Calbert Cheaney,201,94,Indiana University,1971,Evansville,Indiana
2255,Michael Curry,196,95,Georgia Southern University,1968,Anniston,Alabama
2256,Antonio Davis,206,97,University of Texas at El Paso,1968,Oakland,California
2257,Brian Davis,190,81,University of Maryland,1955,Monaca,Pennsylvania
2258,Terry Dehere,188,86,Seton Hall University,1971,New York,New York
2259,Dell Demps,190,92,University of the Pacific,1970,Long Beach,California
2260,Acie Earl,208,108,University of Iowa,1970,Peoria,Illinois
2261,Bill Edwards,203,97,Wright State University,1971,Middletown,Ohio
2262,Doug Edwards,201,99,Florida State University,1971,Miami,Florida
2263,Harold Ellis,196,90,Morehouse College,1970,Atlanta,Georgia
2264,Alphonso Ford,185,86,Mississippi Valley State University,1971,Greenwood,Mississippi
2265,Chad Gallagher,208,115,Creighton University,1969,Rockford,Illinois
2266,Andrew Gaze,201,92,Seton Hall University,1965,Melbourne,Australia
2267,Ricky Grace,185,81,University of Oklahoma,1967,Dallas,Texas
2268,Greg Graham,193,78,Indiana University,1970,Indianapolis,Indiana
2269,Josh Grant,206,101,University of Utah,1967,Salt Lake City,Utah
2270,Andres Guibert,208,102,,1968,Havana,Cuba
2271,Geert Hammink,213,118,Louisiana State University,1969,Didam,Netherlands
2272,Anfernee Hardaway,201,88,University of Memphis,1971,Memphis,Tennessee
2273,Lucious Harris,196,86,"California State University, Long Beach",1970,Los Angeles,California
2274,Antonio Harvey,211,102,Pfeiffer University,1970,Pascagoula,Mississippi
2275,Scott Haskin,211,113,Oregon State University,1970,Riverside,California
2276,Skeeter Henry,201,86,University of Oklahoma,1967,Dallas,Texas
2277,Allan Houston,198,90,University of Tennessee,1971,Louisville,Kentucky
2278,Lindsey Hunter,188,77,Jackson State University,1970,Utica,Mississippi
2279,Bobby Hurley,183,74,Duke University,1971,Jersey City,New Jersey
2280,Stanley Jackson,190,83,University of Alabama at Birmingham,1970,Tuskegee,Alabama
2281,Chris Jent,201,99,Ohio State University,1970,Orange,California
2282,Ervin Johnson,188,92,University of Nebraska,1966,Brooklyn,New York
2283,Popeye Jones,203,113,Murray State University,1970,Dresden,Tennessee
2284,Adonis Jordan,180,77,University of Kansas,1970,Brooklyn,New York
2285,Reggie Jordan,193,88,New Mexico State University,1968,Chicago,Illinois
2286,Warren Kidd,206,106,Middle Tennessee State University,1970,Harpersville,Alabama
2287,Chris King,203,97,Wake Forest University,1969,Newton Grove,North Carolina
2288,Toni Kukoc,208,87,,1968,Split,Croatia
2289,George Lynch,203,98,University of North Carolina,1970,Roanoke,Virginia
2290,Malcolm Mackey,206,112,Georgia Institute of Technology,1970,Chattanooga,Tennessee
2291,Gerald Madkins,193,90,"University of California, Los Angeles",1969,Merced,California
2292,Bob Martin,213,113,University of Minnesota,1969,Minneapolis,Minnesota
2293,Jamal Mashburn,203,108,University of Kentucky,1972,New York,New York
2294,Darnell Mee,196,79,Western Kentucky University,1971,Cleveland,Tennessee
2295,Chris Mills,198,97,University of Arizona,1970,Los Angeles,California
2296,Darren Morningstar,208,106,University of Pittsburgh,1969,Stevenson,Washington
2297,Gheorghe Muresan,231,137,,1971,Triteni,Romania
2298,Bo Outlaw,203,95,University of Houston,1971,San Antonio,Texas
2299,Mike Peplowski,208,122,Michigan State University,1970,Detroit,Michigan
2300,Richard Petruska,208,117,"University of California, Los Angeles",1969,Levice,Slovakia
2301,Dino Radja,211,102,,1967,Split,Croatia
2302,Isaiah Rider,196,97,"University of Nevada, Las Vegas",1971,Oakland,California
2303,Eric Riley,213,111,University of Michigan,1970,Cleveland,Ohio
2304,James Robinson,198,95,"University of Nevada, Las Vegas",1955,Los Angeles,California
2305,Rodney Rogers,201,106,Wake Forest University,1971,Durham,North Carolina
2306,Bryon Russell,201,102,"California State University, Long Beach",1970,San Bernardino,California
2307,Kevin Thompson,211,117,North Carolina State University,1971,Winston-Salem,North Carolina
2308,Keith Tower,211,113,University of Notre Dame,1970,Libby,Montana
2309,Nick Van,211,113,,1970,,
2310,Rex Walters,193,86,University of Kansas,1970,Omaha,Nebraska
2311,Chris Webber,206,111,University of Michigan,1973,Detroit,Michigan
2312,Matt Wenstrom,216,113,University of North Carolina,1970,Minneapolis,Minnesota
2313,David Wesley,183,86,Baylor University,1970,San Antonio,Texas
2314,Chris Whitney,183,76,Clemson University,1971,Hopkinsville,Kentucky
2315,Aaron Williams,206,99,Xavier University,1971,Evanston,Illinois
2316,Luther Wright,218,122,Seton Hall University,1971,Jersey City,New Jersey
2317,Derrick Alston,211,102,Duquesne University,1972,Bronx,New York
2318,Darrell Armstrong,183,77,Fayetteville State University,1968,Gastonia,North Carolina
2319,Sergei Bazarevich,188,76,,1965,Moscow,Russia
2320,Elmer Bennett,183,77,University of Notre Dame,1970,Evanston,Illinois
2321,James Blackwell,183,86,Dartmouth College,1968,Mount Kisco,New York
2322,Tim Breaux,201,97,University of Wyoming,1970,Baton Rouge,Louisiana
2323,Chris Childs,190,88,Boise State University,1967,Bakersfield,California
2324,Bill Curley,206,99,Boston College,1972,Boston,Massachusetts
2325,Yinka Dare,213,120,George Washington University,1972,Kano,Nigeria
2326,Tony Dumas,198,86,University of Missouri-Kansas City,1972,Chicago,Illinois
2327,Howard Eisley,188,80,Boston College,1972,Detroit,Michigan
2328,Matt Fish,211,106,University of North Carolina at Wilmington,1969,Washington,Iowa
2329,Brian Grant,206,115,Xavier University,1972,Columbus,Ohio
2330,Darrin Hancock,201,92,University of Kansas,1971,Birmingham,Alabama
2331,Jerome Harmon,193,86,University of Louisville,1969,Gary,Indiana
2332,Grant Hill,203,102,Duke University,1972,Dallas,Texas
2333,Tom Hovasse,203,92,Pennsylvania State University,1967,Durango,Colorado
2334,Juwan Howard,206,108,University of Michigan,1973,Chicago,Illinois
2335,Askia Jones,196,90,Kansas State University,1971,Philadelphia,Pennsylvania
2336,Eddie Jones,208,102,"University of Nevada, Reno",1956,Fort Rucker,Alabama
2337,Jason Kidd,193,92,University of California,1973,San Francisco,California
2338,Antonio Lang,211,111,University of Arkansas,1966,Pine Bluff,Arkansas
2339,Ryan Lorthridge,193,86,Jackson State University,1972,Nashville,Tennessee
2340,Donyell Marshall,206,98,University of Connecticut,1973,Reading,Pennsylvania
2341,Darrick Martin,180,77,"University of California, Los Angeles",1971,Denver,Colorado
2342,Jim McIlvaine,216,108,Marquette University,1972,Racine,Wisconsin
2343,Aaron McKie,196,94,Temple University,1972,Philadelphia,Pennsylvania
2344,Anthony Miller,206,102,Michigan State University,1971,Benton Harbor,Michigan
2345,Greg Minor,198,95,University of Louisville,1971,Sandersville,Georgia
2346,Eric Mobley,211,106,University of Pittsburgh,1970,Bronx,New York
2347,Eric Montross,213,122,University of North Carolina,1971,Indianapolis,Indiana
2348,Dwayne Morton,201,88,University of Louisville,1971,Louisville,Kentucky
2349,Lamond Murray,201,107,University of California,1973,Pasadena,California
2350,Ivano Newbill,206,111,Georgia Institute of Technology,1970,Sedalia,Missouri
2351,Julius Nwosu,208,115,Liberty University,1971,Nkwere,Nigeria
2352,Wesley Person,198,88,Auburn University,1971,Crenshaw,Alabama
2353,Derrick Phelps,193,82,University of North Carolina,1972,Queens,New York
2354,Eric Piatkowski,201,97,University of Nebraska,1970,Steubenville,Ohio
2355,Eldridge Recasner,190,86,University of Washington,1967,New Orleans,Louisiana
2356,Khalid Reeves,190,90,University of Arizona,1972,Queens,New York
2357,Glenn Robinson,201,102,Purdue University,1973,Gary,Indiana
2358,Carlos Rogers,211,99,Tennessee State University,1971,Detroit,Michigan
2359,Jalen Rose,203,95,University of Michigan,1973,Detroit,Michigan
2360,Clifford Rozier,211,111,University of Louisville,1972,Bradenton,Florida
2361,Trevor Ruffin,185,83,University of Hawaii,1970,Buffalo,New York
2362,Dickey Simpkins,206,112,Providence College,1972,Fort Washington,Maryland
2363,Reggie Slater,201,97,University of Wyoming,1970,Houston,Texas
2364,Mark Strickland,206,95,Temple University,1970,Atlanta,Georgia
2365,Aaron Swinson,196,104,Auburn University,1971,Brunswick,Georgia
2366,Zan Tabak,213,111,,1970,Split,Croatia
2367,Brooks Thompson,193,87,Oklahoma State University,1970,Dallas,Texas
2368,Anthony Tucker,203,99,Wake Forest University,1969,Washington,District of Columbia
2369,B.J. Tyler,203,99,,1969,,
2370,Fred Vinson,193,86,Georgia Institute of Technology,1971,Murfreesboro,North Carolina
2371,Charlie Ward,188,86,Florida State University,1970,Thomasville,Georgia
2372,Jamie Watson,201,86,University of South Carolina,1972,Elm City,North Carolina
2373,Monty Williams,203,102,University of Notre Dame,1971,Fredericksburg,Virginia
2374,Dontonio Wingfield,203,116,University of Cincinnati,1974,Albany,Georgia
2375,Sharone Wright,211,117,Clemson University,1973,Macon,Georgia
2376,Cory Alexander,185,83,University of Virginia,1973,Waynesboro,Virginia
2377,Jerome Allen,193,83,University of Pennsylvania,1973,Philadelphia,Pennsylvania
2378,John Amaechi,208,122,Pennsylvania State University,1970,Boston,Massachusetts
2379,Ashraf Amaya,203,104,Southern Illinois University,1971,Oak Park,Illinois
2380,Brent Barry,198,83,Oregon State University,1971,Hempstead,New York
2381,Corey Beck,185,86,University of Arkansas,1971,Memphis,Tennessee
2382,Mario Bennett,198,106,Arizona State University,1973,Denton,Texas
2383,Travis Best,180,82,Georgia Institute of Technology,1972,Springfield,Massachusetts
2384,Melvin Booker,185,83,University of Missouri,1972,Pascagoula,Mississippi
2385,Donnie Boyce,196,88,University of Colorado,1973,Chicago,Illinois
2386,Marques Bragg,203,104,Providence College,1970,East Orange,New Jersey
2387,Junior Burrough,203,109,University of Virginia,1973,Charlotte,North Carolina
2388,Jason Caffey,203,115,University of Alabama,1973,Mobile,Alabama
2389,Chris Carr,196,93,Southern Illinois University,1974,Ironton,Missouri
2390,Randolph Childress,188,85,Wake Forest University,1972,Washington,District of Columbia
2391,Robert Churchwell,198,88,Georgetown University,1972,South Bend,Indiana
2392,Charles Claxton,213,120,University of Georgia,1970,St. Thomas,U.S. Virgin Islands
2393,John Coker,213,114,Boise State University,1971,Richland,Washington
2394,Rastko Cvetkovic,216,117,,1970,Belgrade,Serbia
2395,Sasha Danilovic,196,90,,1970,Sarajevo,Bosnia and Herzegovina
2396,Andrew DeClercq,208,104,University of Florida,1973,Detroit,Michigan
2397,Tyus Edney,178,68,"University of California, Los Angeles",1973,Gardena,California
2398,Vincenzo Esposito,190,89,,1969,Caserta,Italy
2399,Michael Finley,201,97,University of Wisconsin,1973,Melrose Park,Illinois
2400,Sherell Ford,201,95,University of Illinois at Chicago,1972,Baton Rouge,Louisiana
2401,Kevin Garnett,211,108,,1976,Mauldin,South Carolina
2402,Anthony Goldwire,185,82,University of Houston,1971,West Palm Beach,Florida
2403,Thomas Hamilton,218,149,University of Pittsburgh,1975,Chicago,Illinois
2404,Alvin Heggs,203,102,University of Texas at Austin,1967,Jacksonville,Florida
2405,Alan Henderson,206,106,Indiana University,1972,Indianapolis,Indiana
2406,Fred Hoiberg,193,92,Iowa State University,1972,Lincoln,Nebraska
2407,Darryl Johnson,201,95,Syracuse University,1970,Morgan City,Louisiana
2408,Frankie King,185,83,Western Carolina University,1972,Baxley,Georgia
2409,Jimmy King,188,79,University of Tulsa,1941,Tulsa,Oklahoma
2410,Voshon Lenard,193,92,University of Minnesota,1973,Detroit,Michigan
2411,Cedric Lewis,208,106,University of Maryland,1969,Washington,District of Columbia
2412,Martin Lewis,196,95,Seward County Community College,1975,Liberal,Kansas
2413,Rich Manning,211,114,University of Washington,1970,Tacoma,Washington
2414,Donny Marshall,206,98,University of Connecticut,1973,Reading,Pennsylvania
2415,Cuonzo Martin,196,96,Purdue University,1971,St. Louis,Missouri
2416,Clint McDaniel,193,81,University of Arkansas,1972,Tulsa,Oklahoma
2417,Antonio McDyess,206,99,University of Alabama,1974,Quitman,Mississippi
